,Area code,Area name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,E61000001,Greater London Authority,27560,28743,30677,31214,32094,33850,35465,37743,39606,42511,42972,41310,42605,43870,45030,46793,49249,50347,52874,54319,55940,57500,54225,59855
1,E09000007,The City of London,57740,59528,62764,63783,65349,69590,73635,77950,80556,88247,92028,90056,92086,94292,95834,100686,108546,121235,134224,136968,137267,133436,114609,168278
2,E09000002,Barking and Dagenham,16258,15962,15794,15607,15510,16049,16868,16954,18469,19222,19206,17344,19057,19157,19660,20858,20746,20405,19320,18919,19211,19964,18136,18923
3,E09000003,Barnet,15470,16354,16907,17291,18036,19048,19707,20330,21507,22306,21895,20401,20982,21369,22705,22977,24097,24706,25473,25539,26100,26775,25406,28833
4,E09000004,Bexley,15854,16658,17245,17927,18577,19498,19918,20864,21862,22840,23186,21815,22406,22678,24384,26716,26948,27847,29117,28166,28219,29376,26603,27942
5,E09000005,Brent,17472,18850,19488,19767,20470,21326,21819,22790,23750,24226,23692,21715,22316,22536,24087,25168,27078,28377,29387,29654,29525,31639,30091,31487
6,E09000006,Bromley,17061,17934,18303,18833,19825,21109,22107,22946,24406,25338,25111,23305,23926,24309,25182,25623,25796,26110,27196,28028,28491,28218,25503,27421
7,E09000007,Camden,57740,59528,62764,63783,65349,69590,73635,77950,80556,88247,92028,90056,92086,94292,95834,100686,108546,121235,134224,136968,137267,133436,114609,168278
8,E09000008,Croydon,17187,18190,19045,19595,20160,21372,22168,23241,24046,25544,25016,23567,23436,23269,23246,23536,25521,25655,26224,26870,28868,30680,28934,31579
9,E09000009,Ealing,17879,18687,19394,19841,20335,21456,21989,22634,23654,24632,24436,22387,23085,23589,25192,26570,28405,29652,30851,30441,30799,31217,30591,30510
10,E09000010,Enfield,15847,16606,17222,17800,18396,19635,20502,21218,22359,23356,22913,20710,21643,21695,22352,22973,23855,24846,25236,25024,26691,27899,25014,27764
11,E09000011,Greenwich,13901,14774,15166,15385,15897,16680,17363,18127,18946,19538,19835,18202,19158,19496,19652,19938,20552,20916,21357,22230,22755,24008,20613,22253
12,E09000012,Hackney,14461,15142,15997,16500,16869,17838,18543,19684,20188,21429,21687,20822,21545,22698,22750,23077,25215,25908,27154,28868,31750,36535,37284,44006
13,E09000013,Hammersmith and Fulham,25840,27125,28401,29104,29788,31618,32978,34558,34555,37415,39822,38191,39492,41353,44562,48381,52580,55793,57303,60694,63928,68735,66179,68246
14,E09000014,Haringey,10043,10658,11173,11732,11985,12462,12933,13537,13583,14521,14348,13426,14227,14808,15324,15358,16606,17243,16908,17424,17939,18281,16820,18679
15,E09000015,Harrow,14723,15564,16006,16470,17125,18217,18767,19077,19838,20786,20510,18706,19468,19873,20189,20549,22053,23136,23926,24226,24656,25176,22721,25130
16,E09000016,Havering,15063,15823,16503,17130,17734,18795,19448,20380,21381,22331,21862,20057,20766,20810,22098,22618,23660,24098,24786,24948,25623,26379,23680,26113
17,E09000017,Hillingdon,38269,40094,41801,42003,42458,44141,45722,46998,47393,48980,48156,42957,44611,45906,45969,47915,51696,51679,49660,51636,52389,52801,41476,42962
18,E09000018,Hounslow,31825,33919,36494,37759,38867,40110,40432,41827,46067,48800,51011,48457,49459,49652,51939,56211,60462,63119,66611,66922,65988,68675,59356,58265
19,E09000019,Islington,42471,45182,49543,50501,52087,54826,57876,60900,63105,68731,71633,69310,71063,72896,73414,78043,81574,83355,83872,83744,87036,87475,81567,101300
20,E09000020,Kensington and Chelsea,29437,30433,31260,31208,31901,32671,34451,35804,38042,42819,45837,43090,44908,48510,55732,61548,65216,66004,66996,67002,72195,69284,62874,72023
21,E09000021,Kingston upon Thames,20008,20972,21853,22224,22934,24230,25287,26135,27274,28957,29074,27070,27290,27690,28350,27960,29812,29681,32593,32662,33569,33862,30240,33143
22,E09000022,Lambeth,19493,20692,22337,23462,23876,25354,26600,28607,28881,31782,33259,31886,34258,35803,35947,34072,37989,39025,40672,41395,42282,42061,38984,43617
23,E09000023,Lewisham,8471,8869,9364,9963,10368,11165,11621,12283,12705,13453,13686,12738,13327,13999,14454,14391,15068,15293,15078,15056,15137,15444,14463,15739
24,E09000024,Merton,18935,19903,20425,20649,21023,22061,22848,23809,24621,25818,25750,23462,24283,24888,25951,27609,29326,29862,30679,30295,30812,32118,29155,31506
25,E09000025,Newham,13443,13706,14336,14736,14997,15704,16312,17198,17459,18100,18419,17209,17536,17733,18634,19012,19497,19976,20201,21050,21371,22498,20841,23485
26,E09000026,Redbridge,12543,13236,13749,14059,14604,15339,16062,16605,17312,17770,17492,15844,16243,16474,17468,17654,17870,18688,19070,19359,19580,19531,17376,19263
27,E09000027,Richmond upon Thames,21180,22156,23345,23822,24268,25205,26020,27007,28340,30132,30100,28657,28630,29460,31355,32043,32962,35088,37270,39050,42739,42441,38527,41828
28,E09000028,Southwark,29264,30457,33157,33772,34945,36814,38501,41127,41918,45759,47481,46955,49458,53798,55687,56482,54915,57966,60990,62140,66654,70132,64133,72276
29,E09000029,Sutton,15677,16465,17342,17758,18386,19400,20173,21117,22079,23244,23184,21242,21804,22065,22352,22466,23387,23210,24267,24558,24314,25037,22780,24890
30,E09000030,Tower Hamlets,66020,65987,72949,72596,73417,77751,83535,92570,99277,107107,109644,109422,109177,117026,112098,113388,115503,113985,119043,125774,119702,115687,112728,128919
31,E09000031,Waltham Forest,10823,11508,11948,12434,12964,13752,14340,14972,15587,16099,15582,13971,14370,14728,15675,16123,16925,17643,17838,18014,18407,19317,17079,18564
32,E09000032,Wandsworth,14107,15165,15944,16634,17193,17781,18357,19281,19890,21360,21836,20493,20926,21672,23165,24232,25791,27271,27683,27007,27487,27581,25700,27321
33,E09000033,Westminster,146125,151876,160601,160270,162048,167666,171827,180587,188102,210384,221520,218395,228224,232654,241064,252363,266225,257577,278345,289616,292350,298521,272263,382206
34,E47000001,Greater Manchester Combined Authority,14913,15713,16143,17002,17761,18478,19417,20466,21353,22265,22392,22183,22538,22696,23502,24424,25003,25852,26615,27968,28974,29884,28358,30576
35,E08000001,Bolton,12808,13375,13486,14205,14613,15175,15931,16784,17410,18011,17911,17868,18185,18384,19047,20018,20296,21020,21735,22527,23729,23545,22999,24657
36,E08000002,Bury,11476,12029,12442,13057,13839,14412,15040,15753,16429,17149,17157,16766,17140,17443,17921,18501,18326,19375,19797,19969,20505,21701,20366,21472
37,E08000003,Manchester,23045,24295,24630,26305,27527,28496,30180,31785,33427,34885,35035,35418,35928,35739,37082,37798,38807,39914,41748,44913,46355,49192,46385,51330
38,E08000004,Oldham,10767,11289,11599,11945,12479,12820,13518,14243,14788,15327,15526,15108,15391,15737,15919,16577,17317,17997,18384,19728,19797,20507,18610,19578
39,E08000005,Rochdale,11396,12052,12277,12749,13124,13541,14217,14789,15066,15745,15731,15366,15815,16143,17025,17704,17952,18392,18548,18841,19517,20345,18568,20247
40,E08000006,Salford,16560,17520,17836,18861,19692,20627,22235,23832,25005,26085,26125,25709,25808,26046,27547,29991,31654,31719,30884,31340,33369,34556,33725,35529
41,E08000007,Stockport,14041,14873,15484,16113,16900,17761,18513,19376,20244,21252,21931,22006,22183,22069,22709,23006,22991,23117,24138,25537,26536,26704,25777,27425
42,E08000008,Tameside,10545,11216,11614,11941,12399,12849,13224,14042,14395,14972,15030,14719,14973,15193,15482,16087,16615,16848,16849,17753,18072,18151,17174,17890
43,E08000009,Trafford,21991,23204,24330,26017,27325,28291,29086,30222,31368,32533,32857,31735,32027,32073,32863,34245,34578,36884,38398,40494,42523,43034,40479,44192
44,E08000010,Wigan,10625,11162,11574,12115,12524,13017,13480,14088,14579,15064,14758,14281,14562,14768,15120,16075,16482,17501,17999,18546,18783,18677,17975,19649
45,E47000002,South Yorkshire Mayoral Combined Authority,12253,12467,12990,13776,14536,15449,16274,16794,17567,18600,18312,17757,18295,18721,19156,19613,20263,21006,21245,21968,22193,22922,21916,24399
46,E08000016,Barnsley,10769,10898,11331,11838,12320,13060,13847,14235,14741,15665,15296,14634,15147,15549,15750,16355,17003,17489,17673,18298,18924,19533,18587,20641
47,E08000017,Doncaster,11049,11312,11699,12234,12821,13592,14543,14886,15718,16636,16573,15638,16240,16396,16678,17076,18149,19416,19878,21436,21567,22087,20996,23009
48,E08000018,Rotherham,11589,11774,12259,12755,13456,14216,14754,15303,15800,16857,16792,16051,16856,17334,18240,18422,18999,19779,20161,20935,21139,21700,20494,22372
49,E08000019,Sheffield,13871,14107,14763,15957,16967,18116,19014,19655,20649,21786,21295,21079,21442,21976,22357,22910,23365,23904,23977,24269,24382,25351,24446,27805
50,E47000003,West Yorkshire Combined Authority,15049,15922,16296,16781,17380,18510,19394,20350,21224,22120,22012,21535,21795,22320,22777,23344,23982,25032,25399,26361,27487,27981,26517,28769
51,E08000032,Bradford,12683,13399,13558,13862,14281,14999,15638,16207,16626,17256,17587,17074,17132,17758,18195,18590,18762,19399,19780,20721,20944,21095,20498,21778
52,E08000033,Calderdale,13093,13736,13874,14377,14671,15672,16508,17865,18719,19399,18476,17798,18326,18928,19376,20123,22856,24980,25131,26922,28492,28426,24078,27408
53,E08000034,Kirklees,11999,12564,12759,13000,13244,13898,14346,14918,15298,15915,15972,15417,15700,16025,16317,16682,17178,17991,18378,19407,20155,20287,20269,22389
