Area name,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0
City of London,65.0,65.3,67.3,71.4,73.0,78.0,74.5,73.6,84.2,86.9,88.8,87.9,92.2,94.5,94.8,96.3,97.2
Barking and Dagenham,66.9,69.3,70.5,71.3,73.1,73.5,75.0,76.0,79.2,81.8,80.7,83.7,87.1,87.1,88.9,93.2,94.8
Barnet,66.4,68.5,70.2,71.6,74.1,75.7,78.9,83.3,84.3,83.3,84.4,86.6,88.2,90.9,93.4,95.4,96.6
Bexley,66.0,68.0,69.2,70.8,73.7,75.9,78.8,83.0,84.8,83.4,85.2,88.2,89.8,92.3,94.0,94.9,96.8
Brent,68.3,70.1,71.4,72.4,74.2,75.0,78.0,81.6,82.8,82.5,83.5,85.4,86.8,88.7,91.7,93.6,95.4
Bromley,64.3,66.6,68.2,69.9,72.6,74.6,77.1,80.7,82.6,82.0,83.3,85.6,87.5,90.1,92.4,94.2,95.7
Camden,68.3,71.2,72.4,73.8,75.8,77.3,79.9,82.7,85.1,86.1,87.1,88.1,89.1,91.0,92.2,93.8,96.0
Croydon,70.2,72.0,74.0,77.2,78.8,83.4,82.4,84.2,87.0,85.3,86.9,88.7,90.9,92.6,94.1,95.9,97.1
Ealing,69.2,71.1,72.3,73.4,75.4,76.1,79.1,82.9,84.5,84.7,85.7,87.4,89.1,90.7,93.3,94.6,96.7
Enfield,66.8,69.0,70.8,72.2,74.9,76.5,79.7,83.8,84.7,83.9,84.9,86.6,88.3,90.3,92.3,94.1,95.7
Greenwich,68.4,70.3,72.2,73.4,76.0,77.3,80.5,84.4,85.4,84.9,85.7,87.6,88.9,90.7,93.0,94.8,96.1
Hackney,72.6,74.8,75.9,76.7,78.9,80.1,82.8,85.8,86.7,87.0,87.6,89.0,90.0,91.8,93.4,95.3,96.7
Hammersmith and Fulham,73.6,76.1,77.1,77.0,77.9,78.5,81.1,84.2,85.4,85.7,86.5,88.0,88.6,90.4,91.5,93.3,95.9
Haringey,70.3,72.1,72.9,73.7,75.9,77.3,80.2,84.1,84.2,83.4,84.4,86.4,87.6,90.3,92.8,95.1,96.5
Harrow,67.7,69.5,70.6,71.6,73.9,75.3,78.1,82.1,83.4,82.9,84.3,86.1,87.4,89.7,92.2,94.3,95.6
Havering,66.3,68.5,70.5,73.1,75.3,78.5,79.8,83.1,85.5,83.2,84.3,86.1,87.6,89.5,91.7,94.1,95.4
Hillingdon,84.7,87.0,86.6,84.7,84.3,80.8,78.8,84.6,85.5,84.7,84.6,84.5,85.8,88.2,95.5,96.0,97.1
Hounslow,77.2,79.1,80.0,80.6,81.4,81.5,84.1,86.4,89.0,90.4,90.8,94.2,94.3,95.9,99.7,99.8,99.9
Islington,94.3,94.7,94.0,93.8,94.8,94.9,96.0,98.0,99.6,99.0,97.9,97.4,98.1,98.2,98.1,98.5,99.3
Kensington and Chelsea,70.6,72.7,73.8,74.2,76.0,77.2,79.9,83.7,83.3,82.9,84.3,86.5,87.3,90.3,92.2,94.4,95.8
Lambeth,68.4,70.9,72.7,73.7,74.7,75.6,79.1,81.7,83.9,83.5,83.3,84.5,85.6,86.9,88.9,91.2,93.7
Lewisham,64.7,66.9,68.9,70.5,73.2,75.4,77.9,81.7,83.7,83.7,84.6,86.1,87.8,90.6,93.0,95.1,96.1
Merton,69.2,71.2,72.2,73.3,75.6,77.1,80.1,83.7,84.3,83.5,85.0,86.9,88.0,89.9,91.8,93.8,95.3
Newham,64.9,67.3,69.2,70.6,73.4,75.5,78.9,83.2,85.1,84.5,85.3,87.6,89.5,91.4,93.6,94.9,96.4
Redbridge,72.3,74.4,75.8,77.0,79.3,80.9,83.6,87.2,87.9,86.7,87.4,88.9,90.3,92.1,94.4,96.3,97.3
Southwark,69.2,71.7,73.0,74.4,77.1,78.8,81.5,84.3,86.9,87.5,88.5,89.6,90.8,92.4,93.9,95.8,96.7
Sutton,68.0,70.2,71.6,73.3,75.7,77.6,80.4,83.9,85.0,83.8,84.7,86.3,87.4,89.8,92.1,94.6,95.7
Tower Hamlets,63.9,63.7,65.1,67.5,69.3,71.7,70.8,71.1,79.8,84.4,84.8,83.6,86.7,90.1,92.5,93.5,95.9
Waltham Forest,71.6,73.5,74.7,75.9,78.0,79.3,82.3,85.9,86.9,86.0,86.7,88.4,89.8,91.4,93.5,95.3,96.6
Wandsworth,66.7,68.8,70.5,71.9,74.4,76.4,79.5,83.6,83.4,82.9,84.2,86.0,87.3,90.0,92.1,94.2,95.4
Westminster,68.3,70.6,72.2,73.2,74.8,75.9,79.0,80.9,83.8,84.6,85.2,86.8,88.3,90.1,91.9,93.8,95.8
